date,holiday_name,category
01/01/2020,New Year’s Day,regular_holiday
25/01/2020,Chinese New Year,special_non_working
25/02/2020,EDSA People Power Revolution Anniversary,special_non_working
09/04/2020,Araw ng Kagitingan (Day of Valor),regular_holiday
09/04/2020,Maundy Thursday,regular_holiday
10/04/2020,Good Friday,regular_holiday
11/04/2020,Black Saturday,special_non_working
01/05/2020,Labor Day,regular_holiday
25/05/2020,Eid’l Fitr (Feast of Ramadan),regular_holiday
12/06/2020,Independence Day,regular_holiday
01/07/2020,Davao Oriental Province Foundation Day,special_non_working
31/07/2020,Eid’l Adha (Feast of Sacrifice),regular_holiday
21/08/2020,Ninoy Aquino Day,special_non_working
31/08/2020,National Heroes Day,regular_holiday
26/10/2020,Sambuokan Festival (Davao Oriental),special_non_working
01/11/2020,All Saints’ Day,special_non_working
02/11/2020,All Souls’ Day,special_non_working
30/11/2020,Bonifacio Day,regular_holiday
08/12/2020,Feast of the Immaculate Conception,special_non_working
24/12/2020,Christmas Eve,special_non_working
25/12/2020,Christmas Day,regular_holiday
30/12/2020,Rizal Day,regular_holiday
31/12/2020,Last Day of the Year,special_non_working
01/01/2021,New Year’s Day,regular_holiday
12/02/2021,Chinese New Year,special_non_working
25/02/2021,EDSA People Power Revolution Anniversary,special_non_working
01/04/2021,Maundy Thursday,regular_holiday
02/04/2021,Good Friday,regular_holiday
09/04/2021,Araw ng Kagitingan (Day of Valor),regular_holiday
13/05/2021,Eid’l Fitr (Feast of Ramadan),regular_holiday
12/06/2021,Independence Day,regular_holiday
01/07/2021,Davao Oriental Province Foundation Day,special_non_working
20/07/2021,Eid’l Adha (Feast of Sacrifice),regular_holiday
21/08/2021,Ninoy Aquino Day,special_non_working
30/08/2021,National Heroes Day,regular_holiday
26/10/2021,Sambuokan Festival (Davao Oriental),special_non_working
01/11/2021,All Saints’ Day,special_non_working
30/11/2021,Bonifacio Day,regular_holiday
08/12/2021,Feast of the Immaculate Conception,special_non_working
25/12/2021,Christmas Day,regular_holiday
30/12/2021,Rizal Day,regular_holiday
01/01/2022,New Year’s Day,regular_holiday
01/02/2022,Chinese New Year,special_non_working
14/04/2022,Maundy Thursday,regular_holiday
15/04/2022,Good Friday,regular_holiday
09/04/2022,Araw ng Kagitingan (Day of Valor),regular_holiday
01/05/2022,Labor Day,regular_holiday
12/06/2022,Independence Day,regular_holiday
01/07/2022,Davao Oriental Province Foundation Day,special_non_working
29/08/2022,National Heroes Day,regular_holiday
26/10/2022,Sambuokan Festival (Davao Oriental),special_non_working
01/11/2022,All Saints’ Day,special_non_working
30/11/2022,Bonifacio Day,regular_holiday
08/12/2022,Feast of the Immaculate Conception,special_non_working
25/12/2022,Christmas Day,regular_holiday
30/12/2022,Rizal Day,regular_holiday
01/01/2023,New Year’s Day,regular_holiday
17/02/2023,Chinese New Year,special_non_working
06/04/2023,Maundy Thursday,regular_holiday
07/04/2023,Good Friday,regular_holiday
09/04/2023,Araw ng Kagitingan (Day of Valor),regular_holiday
01/05/2023,Labor Day,regular_holiday
12/06/2023,Independence Day,regular_holiday
01/07/2023,Davao Oriental Province Foundation Day,special_non_working
28/08/2023,National Heroes Day,regular_holiday
26/10/2023,Sambuokan Festival (Davao Oriental),special_non_working
01/11/2023,All Saints’ Day,special_non_working
02/11/2023,All Souls’ Day,special_non_working
30/11/2023,Bonifacio Day,regular_holiday
08/12/2023,Feast of the Immaculate Conception,special_non_working
24/12/2023,Christmas Eve,special_non_working
25/12/2023,Christmas Day,regular_holiday
30/12/2023,Rizal Day,regular_holiday
31/12/2023,Last Day of the Year,special_non_working
01/01/2024,New Year’s Day,regular_holiday
09/02/2024,Chinese New Year,special_non_working
28/03/2024,Maundy Thursday,regular_holiday
29/03/2024,Good Friday,regular_holiday
09/04/2024,Araw ng Kagitingan (Day of Valor),regular_holiday
10/04/2024,Eid’l Fitr (Feast of Ramadan),regular_holiday
01/05/2024,Labor Day,regular_holiday
12/06/2024,Independence Day,regular_holiday
17/06/2024,Eid’l Adha (Feast of Sacrifice),regular_holiday
01/07/2024,Davao Oriental Province Foundation Day,special_non_working
26/08/2024,National Heroes Day,regular_holiday
26/10/2024,Sambuokan Festival (Davao Oriental),special_non_working
01/11/2024,All Saints’ Day,special_non_working
02/11/2024,All Souls’ Day,special_non_working
30/11/2024,Bonifacio Day,regular_holiday
08/12/2024,Feast of the Immaculate Conception,special_non_working
24/12/2024,Christmas Eve,special_non_working
25/12/2024,Christmas Day,regular_holiday
30/12/2024,Rizal Day,regular_holiday
31/12/2024,Last Day of the Year,special_non_working
01/01/2025,New Year’s Day,regular_holiday
29/01/2025,Chinese New Year,special_non_working
17/04/2025,Maundy Thursday,regular_holiday
18/04/2025,Good Friday,regular_holiday
09/04/2025,Araw ng Kagitingan (Day of Valor),regular_holiday
01/05/2025,Labor Day,regular_holiday
06/06/2025,Eid’l Adha (Feast of Sacrifice),regular_holiday
12/06/2025,Independence Day,regular_holiday
01/07/2025,Davao Oriental Province Foundation Day,special_non_working
25/08/2025,National Heroes Day,regular_holiday
26/10/2025,Sambuokan Festival (Davao Oriental),special_non_working
31/10/2025,All Saints’ Day Eve,special_non_working
01/11/2025,All Saints’ Day,special_non_working
30/11/2025,Bonifacio Day,regular_holiday
08/12/2025,Feast of the Immaculate Conception,special_non_working
24/12/2025,Christmas Eve,special_non_working
25/12/2025,Christmas Day,regular_holiday
